Feature,Mean Difference,Paired t-test p,Wilcoxon p,Notes
lemma_ttr,0.8482038976585684,2.9733341136039753e-25,2.628131644473233e-21,Significant (higher in metaphorical) but small effect
lemma_mattr,0.38650968679529873,3.935183106854447e-07,3.508067961832695e-07,Significant (higher in metaphorical) but small effect
lexical_density_tokens,-0.15846699396085911,0.0357596093752701,0.07904692171092316,Not significant
lexical_density_types,-0.7378422411841388,6.015934540999963e-20,2.13048514109093e-18,Significant (higher in literal) but small effect
content_ttr,0.8622556260247451,1.1708306308366742e-26,4.0051667241060645e-22,Significant (higher in metaphorical) but small effect
function_ttr,0.7512752184479632,9.346860180692837e-20,2.9406130570017014e-19,Significant (higher in metaphorical) but small effect
function_mattr,0.3554480291880779,2.780424186180304e-06,1.5209634731352267e-05,Significant (higher in metaphorical) but small effect
noun_ttr,0.8644145514360588,1.872646542773558e-26,6.914324342328072e-22,Significant (higher in metaphorical) but small effect
verb_ttr,0.8425497365809466,2.1536023649983794e-25,1.8764215670524976e-21,Significant (higher in metaphorical) but small effect
adj_ttr,0.8286463317848618,8.225194793822209e-26,7.579043606591896e-22,Significant (higher in metaphorical) but small effect
adv_ttr,0.8340733267214333,1.7821356651433944e-24,6.681106286472002e-21,Significant (higher in metaphorical) but small effect
prp_ttr,0.6753467515700764,8.6023504433593665e-16,2.902525518955243e-17,Significant (higher in metaphorical) but small effect
argument_ttr,0.8376967894609205,2.0132756318127855e-24,1.4540757313040904e-20,Significant (higher in metaphorical) but small effect
bigram_lemma_ttr,0.8619502924368971,3.720392018915367e-27,1.180656378816732e-22,Significant (higher in metaphorical) but small effect
trigram_lemma_ttr,0.7675938986809373,3.4419106257594575e-22,3.0135930972162247e-19,Significant (higher in metaphorical) but small effect
adjacent_overlap_all_sent,-0.29466823444979107,0.0002692482367147646,3.2360860471817566e-05,Significant (higher in literal) but small effect
adjacent_overlap_all_sent_div_seg,-0.05107357670070533,0.5219469957545182,0.7187276546652752,Not significant
adjacent_overlap_binary_all_sent,0.03269041426137243,0.6888484359979741,0.005632196693063696,Significant (higher in metaphorical) but small effect
adjacent_overlap_2_all_sent,-0.21221532249719327,0.0070292555248029345,0.0012322351150181622,Significant (higher in literal) but small effect
adjacent_overlap_2_all_sent_div_seg,0.04048407765567459,0.6083677285704998,0.6090852607433068,Not significant
adjacent_overlap_binary_2_all_sent,0.010687616419941929,0.8960332884010817,0.0008115733387071174,Significant (higher in metaphorical) but small effect
adjacent_overlap_cw_sent,-0.1897646598436709,0.015850270795322727,0.0006853887440521942,Significant (higher in literal) but small effect
adjacent_overlap_cw_sent_div_seg,-0.11027371046202492,0.16669955418565574,0.006766596673385611,Significant (higher in literal) but small effect
adjacent_overlap_binary_cw_sent,-0.1171286387007031,0.13995774396663482,0.9336290724022328,Not significant
adjacent_overlap_2_cw_sent,-0.15424828014146205,0.04775768330593656,0.004582071969669087,Significant (higher in literal) but small effect
adjacent_overlap_2_cw_sent_div_seg,-0.07822948124642687,0.3190312554255591,0.048578635326925544,Significant (higher in literal) but small effect
adjacent_overlap_binary_2_cw_sent,-0.08114643965639655,0.30330030072223074,0.3377732275124187,Not significant
adjacent_overlap_fw_sent,-0.2696631736378685,0.0007380423323724956,0.0033651857289446426,Significant (higher in literal) but small effect
adjacent_overlap_fw_sent_div_seg,-0.025669377519729496,0.7492889628866877,0.9190735158962123,Not significant
adjacent_overlap_binary_fw_sent,0.09542234962839767,0.24719680628216664,0.023167535354415486,Significant (higher in metaphorical) but small effect
adjacent_overlap_2_fw_sent,-0.22871554263841332,0.003500095485697185,0.012365417692357621,Significant (higher in literal) but small effect
adjacent_overlap_2_fw_sent_div_seg,0.0625265894026782,0.43064817777867304,0.338939369292094,Not significant
adjacent_overlap_binary_2_fw_sent,0.18556855646175896,0.02079749947399341,0.00046679294374794925,Significant (higher in metaphorical) but small effect
adjacent_overlap_noun_sent,-0.09352645378511579,0.20362322183062237,0.11533859787415562,Not significant
adjacent_overlap_noun_sent_div_seg,-0.14244098541996028,0.0723309190641072,0.017343208940037002,Significant (higher in literal) but small effect
