Feature,Mean Difference,Paired t-test p,Wilcoxon p,Notes
Word Count,-0.7808991299637967,1.6521939031216804e-22,9.2801408203035e-23,Significant (higher in literal) but small effect
KF_Freq_AW,-0.06757865090412837,0.3671380279316978,0.4441447552256359,Not significant
KF_Freq_AW_Log,0.0197552009330339,0.7876150098970411,0.7487185278275106,Not significant
KF_Ncats_AW,0.10441072032310925,0.14565984217321962,0.311074270601834,Not significant
KF_Nsamp_AW,0.13799002877169914,0.057414963354896466,0.10525910494851203,Not significant
TL_Freq_AW,-0.05460342600259739,0.4637559294114022,0.6546973037583318,Not significant
TL_Freq_AW_Log,0.1674992929626291,0.018187957315134378,0.04225458011443302,Significant (higher in metaphorical) but small effect
Brown_Freq_AW,-0.06288398164218287,0.4004118512071072,0.554041338132311,Not significant
Brown_Freq_AW_Log,0.14385378736264737,0.051513232138264496,0.04896504259619264,Significant (higher in metaphorical) but small effect
KF_Freq_CW,0.013502172030167825,0.85037962273606,0.8260726045593985,Not significant
KF_Freq_CW_Log,-0.016960579155995973,0.8077069642780937,0.6827112805225263,Not significant
KF_Ncats_CW,0.0452011086247925,0.5288587775133072,0.5686015115533223,Not significant
KF_Nsamp_CW,0.09201255716824697,0.18783960308622324,0.28812133091196923,Not significant
TL_Freq_CW,0.1216258099588875,0.08269654871032912,0.08934547305015357,Not significant
TL_Freq_CW_Log,0.16989775919621036,0.014697776293682975,0.020053641680637783,Significant (higher in metaphorical) but small effect
Brown_Freq_CW,0.08761729172941442,0.21592434161178703,0.22832082512995777,Not significant
Brown_Freq_CW_Log,0.1521405731650271,0.03221626530479708,0.04413812685817846,Significant (higher in metaphorical) but small effect
KF_Freq_FW,-0.18189807835337307,0.013489339315235872,0.008679999993283987,Significant (higher in literal) but small effect
KF_Freq_FW_Log,-0.2848796656314426,0.00010371846201027615,0.0001076602250871417,Significant (higher in literal) but small effect
KF_Ncats_FW,-0.0876235696054605,0.26765460015470866,0.8287025447256844,Not significant
KF_Nsamp_FW,-0.2508502894762135,0.000845699210200099,0.0003726529247894238,Significant (higher in literal) but small effect
TL_Freq_FW,-0.20862227890515234,0.004399590986881392,0.0035220468567160354,Significant (higher in literal) but small effect
TL_Freq_FW_Log,-0.3071005006532573,2.801510018304278e-05,4.453495017262557e-05,Significant (higher in literal) but small effect
Brown_Freq_FW,-0.3068524218469551,2.4641956266189128e-05,0.000207300625191018,Significant (higher in literal) but small effect
Brown_Freq_FW_Log,-0.4171968885160841,1.6220083916308866e-08,3.7268648879429657e-07,Significant (higher in literal) but small effect
MRC_Familiarity_AW,0.12773605869303023,0.08014075672767355,0.03774758047690988,Significant (higher in metaphorical) but small effect
MRC_Concreteness_AW,0.12857903534477655,0.10318052938743301,0.22084918491448802,Not significant
MRC_Imageability_AW,0.24043486352541937,0.0023673759296051187,0.009903630317970822,Significant (higher in metaphorical) but small effect
MRC_Meaningfulness_AW,0.32069775217836516,7.701473566011042e-05,7.130648973856463e-05,Significant (higher in metaphorical) but small effect
MRC_Familiarity_CW,0.12361324775958644,0.1001583957020427,0.042117804752115635,Significant (higher in metaphorical) but small effect
MRC_Concreteness_CW,0.03802755012847149,0.6062058439452986,0.5612985849885246,Not significant
MRC_Imageability_CW,0.17647099100913236,0.017080349338958165,0.023871939402984942,Significant (higher in metaphorical) but small effect
