Feature,Mean Difference,Paired t-test p,Wilcoxon p,Notes
nwords,-0.7801476174764586,1.8028280749995515e-22,9.856452127470458e-23,Significant (higher in literal) but small effect
av_nominal_deps,-0.046012352935539805,0.5313386800431201,0.4361477873394124,Not significant
av_nsubj_deps,-0.02863675484017872,0.7000422432975797,0.7415655990727885,Not significant
av_nsubj_pass_deps,-0.16769680551581123,0.0399419443150684,0.004162585298700273,Significant (higher in literal) but small effect
av_agents_deps,-0.1684738912792378,0.04128121682140415,0.05335344998766779,Not significant
av_dobj_deps,-0.06575472796296344,0.39389712036782776,0.2775320728606113,Not significant
av_pobj_deps,-0.1434179519853427,0.07148801236564588,0.09765502717353627,Not significant
av_iobj_deps,-0.2966836314237746,0.0004436934172133597,3.960801701551494e-06,Significant (higher in literal) but small effect
av_ncomp_deps,0.1320761322460403,0.08272574013220602,0.041323451232412454,Significant (higher in metaphorical) but small effect
av_nominal_deps_NN,-0.0030274779902843833,0.9669987755961233,0.9889581754818132,Not significant
av_nsubj_deps_NN,0.07472987087817032,0.30297014913054493,0.25125224414076275,Not significant
av_nsubj_pass_deps_NN,-0.18211911437006506,0.026950701845344743,0.010231741072873049,Significant (higher in literal) but small effect
av_agents_deps_NN,-0.153047820512768,0.059966732666067515,0.11235265757884151,Not significant
av_dobj_deps_NN,-0.019115201372170522,0.8045765267780043,0.6679095343257724,Not significant
av_pobj_deps_NN,-0.17284990937351885,0.0299164351575278,0.05414306045330534,Not significant
av_iobj_deps_NN,-0.3991556134983374,2.425959303213654e-06,8.118265625934826e-08,Significant (higher in literal) but small effect
av_ncomp_deps_NN,0.1577309206810722,0.04018346618968478,0.021555957383149024,Significant (higher in metaphorical) but small effect
nominal_deps_stdev,0.0744930800919622,0.33241678138089237,0.4891707960543975,Not significant
nsubj_stdev,0.07711455813167056,0.3189594759033248,0.25041648625540414,Not significant
nsubj_pass_stdev,-0.5587456435848208,1.7078690339421216e-12,1.826650453599579e-10,Significant (higher in literal) but small effect
agents_stdev,-0.5748201712907661,7.033267859961176e-13,1.1141939331235771e-10,Significant (higher in literal) but small effect
dobj_stdev,-0.028637126514910332,0.7228390148324368,0.5132256406531782,Not significant
pobj_stdev,-0.23037188350814314,0.0026461797747675377,0.0007451474550090152,Significant (higher in literal) but small effect
iobj_stdev,-0.5320023701944903,1.5386061121318127e-10,7.341992191866587e-11,Significant (higher in literal) but small effect
